,0,1,2
351,sh.600188,1,兖矿能源
352,sh.600189,1,泉阳泉
353,sh.600190,1,ST锦港
354,sh.600191,1,华资实业
355,sh.600192,1,长城电工
356,sh.600193,1,创兴资源
357,sh.600195,1,中牧股份
358,sh.600196,1,复星医药
359,sh.600197,1,伊力特
360,sh.600198,1,大唐电信
361,sh.600199,1,金种子酒
362,sh.600200,1,江苏吴中
363,sh.600201,1,生物股份
364,sh.600202,1,哈空调
365,sh.600203,1,福日电子
366,sh.600206,1,有研新材
367,sh.600207,1,安彩高科
368,sh.600208,1,衢州发展
369,sh.600210,1,紫江企业
370,sh.600211,1,西藏药业
371,sh.600212,1,绿能慧充
372,sh.600215,1,派斯林
373,sh.600216,1,浙江医药
374,sh.600217,1,中再资环
375,sh.600218,1,全柴动力
376,sh.600219,1,南山铝业
377,sh.600221,1,海航控股
378,sh.600222,1,太龙药业
379,sh.600223,1,福瑞达
380,sh.600225,0,*ST卓朗
381,sh.600226,1,亨通股份
382,sh.600227,1,赤天化
383,sh.600228,1,返利科技
384,sh.600229,1,城市传媒
385,sh.600230,1,沧州大化
386,sh.600231,1,凌钢股份
387,sh.600232,1,金鹰股份
388,sh.600233,1,圆通速递
389,sh.600234,1,*ST科新
390,sh.600235,1,民丰特纸
391,sh.600236,1,桂冠电力
392,sh.600237,1,铜峰电子
393,sh.600238,1,海南椰岛
394,sh.600239,1,云南城投
395,sh.600241,1,时代万恒
396,sh.600243,1,青海华鼎
397,sh.600246,1,万通发展
398,sh.600248,1,陕建股份
399,sh.600249,1,两面针
400,sh.600250,1,南京商旅
401,sh.600251,1,冠农股份
402,sh.600252,1,中恒集团
403,sh.600255,1,鑫科材料
404,sh.600256,1,广汇能源
405,sh.600257,1,大湖股份
406,sh.600258,1,首旅酒店
407,sh.600259,1,广晟有色
408,sh.600261,1,阳光照明
409,sh.600262,1,北方股份
410,sh.600265,1,景谷林业
411,sh.600266,1,城建发展
412,sh.600267,1,海正药业
413,sh.600268,1,国电南自
414,sh.600269,1,赣粤高速
415,sh.600271,1,航天信息
416,sh.600272,1,开开实业
417,sh.600273,1,嘉化能源
418,sh.600276,1,恒瑞医药
419,sh.600278,1,东方创业
420,sh.600279,1,重庆港
421,sh.600280,1,中央商场
422,sh.600281,1,华阳新材
423,sh.600282,1,南钢股份
424,sh.600283,1,钱江水利
425,sh.600284,1,浦东建设
426,sh.600285,1,羚锐制药
427,sh.600287,1,ST舜天
428,sh.600288,1,大恒科技
429,sh.600289,0,*ST信通
430,sh.600292,1,远达环保
431,sh.600293,1,三峡新材
432,sh.600295,1,鄂尔多斯
433,sh.600298,1,安琪酵母
434,sh.600299,1,安迪苏
435,sh.600300,1,维维股份
436,sh.600301,1,华锡有色
437,sh.600302,1,标准股份
438,sh.600303,1,ST曙光
439,sh.600305,1,恒顺醋业
440,sh.600307,1,酒钢宏兴
441,sh.600308,1,华泰股份
442,sh.600309,1,万华化学
443,sh.600310,1,广西能源
444,sh.600312,1,平高电气
445,sh.600313,1,农发种业
446,sh.600315,1,上海家化
447,sh.600316,1,洪都航空
448,sh.600318,1,新力金融
449,sh.600319,1,亚星化学
450,sh.600320,1,振华重工
451,sh.600322,0,津投城开
452,sh.600323,1,瀚蓝环境
453,sh.600325,1,华发股份
454,sh.600326,1,西藏天路
455,sh.600327,1,大东方
456,sh.600328,1,中盐化工
457,sh.600329,1,达仁堂
458,sh.600330,1,天通股份
459,sh.600331,1,宏达股份
460,sh.600332,1,白云山
461,sh.600333,1,长春燃气
462,sh.600335,1,国机汽车
463,sh.600336,1,澳柯玛
464,sh.600337,1,美克家居
465,sh.600338,1,西藏珠峰
466,sh.600339,1,中油工程
467,sh.600340,1,华夏幸福
468,sh.600343,1,航天动力
469,sh.600345,1,长江通信
470,sh.600346,1,恒力石化
471,sh.600348,1,华阳股份
472,sh.600350,1,山东高速
473,sh.600351,1,亚宝药业
474,sh.600352,1,浙江龙盛
475,sh.600353,1,旭光电子
476,sh.600354,1,敦煌种业
477,sh.600355,1,精伦电子
478,sh.600356,1,恒丰纸业
479,sh.600358,1,国旅联合
480,sh.600359,1,新农开发
481,sh.600360,1,ST华微
482,sh.600361,1,创新新材
483,sh.600362,1,江西铜业
484,sh.600363,1,联创光电
485,sh.600365,1,ST通葡
486,sh.600366,1,宁波韵升
487,sh.600367,1,红星发展
488,sh.600368,1,五洲交通
489,sh.600369,1,西南证券
490,sh.600370,1,三房巷
491,sh.600371,1,万向德农
